Date,State,Market,Crop,Modal_Price
2020-01-01,Delhi,Azadpur,Onion,4625.235489989776
2020-01-02,Delhi,Azadpur,Onion,4672.294476507781
2020-01-03,Delhi,Azadpur,Onion,4666.570505410023
2020-01-04,Delhi,Azadpur,Onion,4749.283224759022
2020-01-05,Delhi,Azadpur,Onion,4751.599418535433
2020-01-06,Delhi,Azadpur,Onion,4655.084605391746
2020-01-07,Delhi,Azadpur,Onion,4740.202109083766
2020-01-08,Delhi,Azadpur,Onion,4867.29408172894
2020-01-09,Delhi,Azadpur,Onion,4769.038201049431
2020-01-10,Delhi,Azadpur,Onion,4703.8431302860245
2020-01-11,Delhi,Azadpur,Onion,4634.417495651011
2020-01-12,Delhi,Azadpur,Onion,4735.501529390042
2020-01-13,Delhi,Azadpur,Onion,4777.325390322704
2020-01-14,Delhi,Azadpur,Onion,4776.684168002224
2020-01-15,Delhi,Azadpur,Onion,4771.202055793407
2020-01-16,Delhi,Azadpur,Onion,4835.637776278581
2020-01-17,Delhi,Azadpur,Onion,4748.099597971413
2020-01-18,Delhi,Azadpur,Onion,
2020-01-19,Delhi,Azadpur,Onion,4756.342703991113
2020-01-20,Delhi,Azadpur,Onion,4766.18582826989
2020-01-21,Delhi,Azadpur,Onion,4836.627094685237
2020-01-22,Delhi,Azadpur,Onion,4861.25916660433
2020-01-23,Delhi,Azadpur,Onion,4853.647764574409
2020-01-24,Delhi,Azadpur,Onion,4758.508704015633
2020-01-25,Delhi,Azadpur,Onion,4798.054597844849
2020-01-26,Delhi,Azadpur,Onion,4902.8569786548505
2020-01-27,Delhi,Azadpur,Onion,
2020-01-28,Delhi,Azadpur,Onion,4787.843464336156
2020-01-29,Delhi,Azadpur,Onion,4891.047936002463
2020-01-30,Delhi,Azadpur,Onion,4934.081011929041
2020-01-31,Delhi,Azadpur,Onion,4792.855805178933
2020-02-01,Delhi,Azadpur,Onion,4868.699460346711
2020-02-02,Delhi,Azadpur,Onion,4823.954348770607
2020-02-03,Delhi,Azadpur,Onion,4905.866877346767
2020-02-04,Delhi,Azadpur,Onion,4833.857427522159
2020-02-05,Delhi,Azadpur,Onion,4869.161272391401
2020-02-06,Delhi,Azadpur,Onion,4774.050203171985
2020-02-07,Delhi,Azadpur,Onion,4900.223639654802
2020-02-08,Delhi,Azadpur,Onion,4895.771786490622
2020-02-09,Delhi,Azadpur,Onion,4790.820182526053
2020-02-10,Delhi,Azadpur,Onion,4781.791561679583
2020-02-11,Delhi,Azadpur,Onion,4912.4229333440235
